title,release,metascore,userscore
0,Bridgerton: Season 1,"December 25, 2020",75,Bridgerton: Season 1
1,George Harrison: Living in the Material World,"October 5, 2011",74,George Harrison: Living in the Material World
2,The Real World Homecoming: Season 1,"March 4, 2021",74,The Real World Homecoming: Season 1
3,Game of Thrones: Season 8,"April 14, 2019",75,Game of Thrones: Season 8
4,Grease: Live,"January 31, 2016",75,Grease: Live
5,The Little Drummer Girl: Season 1,"October 28, 2018",75,The Little Drummer Girl: Season 1
6,Awake: Season 1,"March 1, 2012",74,Awake: Season 1
7,Detroiters: Season 1,"February 7, 2017",75,Detroiters: Season 1
8,Veep: Season 2,"April 14, 2013",75,Veep: Season 2
9,Family Tree: Season 1,"May 12, 2013",74,Family Tree: Season 1
10,The Marvelous Mrs. Maisel: Season 3,"December 6, 2019",75,The Marvelous Mrs. Maisel: Season 3
11,ZeroZeroZero: Season 1,"March 6, 2020",75,ZeroZeroZero: Season 1
12,Marvel's Daredevil: Season 1,"October 19, 2018",75,Marvel's Daredevil: Season 1
13,As You Like It,"August 21, 2007",75,As You Like It
14,Sarah Silverman: We Are Miracles,"November 23, 2013",75,Sarah Silverman: We Are Miracles
15,Jane Eyre,"September 24, 2006",75,Jane Eyre
16,Key & Peele: Season 1,"January 31, 2012",74,Key & Peele: Season 1
17,Six Feet Under: Season 1,"June 3, 2001",74,Six Feet Under: Season 1
18,Quiz,"May 31, 2020",75,Quiz
19,Betty: Season 2,"June 11, 2021",75,Betty: Season 2
20,Monk: Season 1,"July 12, 2002",75,Monk: Season 1
21,Des,"September 14, 2020",75,Des
22,Supergirl (2015): Season 1,"October 26, 2015",75,Supergirl (2015): Season 1
23,The Conners: Season 1,"October 16, 2018",75,The Conners: Season 1
24,American Vandal: Season 1,"September 15, 2017",75,American Vandal: Season 1
25,Restless,"December 7, 2012",75,Restless
26,With Love: Season 1,"December 17, 2021",75,With Love: Season 1
27,True Blood: Season 5,"June 10, 2012",74,True Blood: Season 5
28,The Walking Dead: Season 4,"October 13, 2013",75,The Walking Dead: Season 4
29,Without a Trace: Season 1,"September 26, 2002",75,Without a Trace: Season 1
30,The Wonder Years (2021): Season 1,"September 22, 2021",75,The Wonder Years (2021): Season 1
31,House: Season 1,"November 16, 2004",75,House: Season 1
32,Spectacle: Elvis Costello With...: Season 1,"December 3, 2008",75,Spectacle: Elvis Costello With...: Season 1
33,The Great: Season 1,"May 15, 2020",74,The Great: Season 1
34,Documentary Now!: Season 2,"September 14, 2016",74,Documentary Now!: Season 2
35,Nurse Jackie: Season 2,"March 22, 2010",75,Nurse Jackie: Season 2
36,iZombie: Season 1,"March 17, 2015",74,iZombie: Season 1
37,Chuck: Season 2,"September 29, 2008",74,Chuck: Season 2
38,The Last Days of Ptolemy Grey: Season 1,"March 11, 2022",75,The Last Days of Ptolemy Grey: Season 1
39,Marvel's Agents of S.H.I.E.L.D: Season 1,"September 24, 2013",74,Marvel's Agents of S.H.I.E.L.D: Season 1
40,Maximum Bob: Season 1,"August 4, 1998",75,Maximum Bob: Season 1
41,Public Speaking,"November 22, 2010",75,Public Speaking
42,The Practice: Season 1,"March 4, 1997",74,The Practice: Season 1
43,Pose: Season 1,"June 3, 2018",75,Pose: Season 1
44,Gilmore Girls: Season 8,"November 25, 2016",75,Gilmore Girls: Season 8
45,The Blacklist: Season 1,"September 23, 2013",74,The Blacklist: Season 1
46,Younger: Season 1,"March 31, 2015",75,Younger: Season 1
47,Wild Things with Dominic Monaghan: Season 1,"November 25, 2013",74,Wild Things with Dominic Monaghan: Season 1
