,title,release,metascore
800,Boss: Season 2,"August 17, 2012",75
801,Angel: Season 1,"October 5, 1999",75
802,Damages: Season 1,"July 24, 2007",75
803,Dr. Death: Season 1,"July 15, 2021",75
804,Bill Cosby: Far From Finished,"November 23, 2013",75
805,Betty: Season 2,"June 11, 2021",75
806,Star Trek: Discovery: Season 3,"October 15, 2020",75
807,Hannah Gadsby: Douglas,"May 26, 2020",75
808,ZeroZeroZero: Season 1,"March 6, 2020",75
809,Spectacle: Elvis Costello With...: Season 1,"December 3, 2008",75
810,The Knick: Season 1,"August 8, 2014",75
811,The Wonder Years (2021): Season 1,"September 22, 2021",75
812,Terriers: Season 1,"September 8, 2010",75
813,The Walking Dead: Season 4,"October 13, 2013",75
814,Godless: Season 1,"November 22, 2017",75
815,Queen Sugar: Season 1,"September 6, 2016",75
816,Pose: Season 1,"June 3, 2018",75
817,The Good Wife: Season 1,"September 22, 2009",75
818,Allen v. Farrow: Season 1,"February 21, 2021",75
819,Veronica Mars: Season 4,"July 19, 2019",75
820,Marvel's Daredevil: Season 1,"October 19, 2018",75
821,Bessie: Season 1,"May 16, 2015",75
822,Will & Grace: Season 1,"September 21, 1998",75
823,Fresh Off the Boat: Season 1,"February 4, 2015",75
824,Without a Trace: Season 1,"September 26, 2002",75
825,Luck: Season 1,"December 11, 2011",75
826,Des,"September 14, 2020",75
827,The Marvelous Mrs. Maisel: Season 3,"December 6, 2019",75
828,Corporate: Season 1,"January 17, 2018",75
829,Sarah Silverman: We Are Miracles,"November 23, 2013",75
830,Public Speaking,"November 22, 2010",75
831,The Alzheimer's Project: Season 1,"May 10, 2009",75
832,Burn Notice: Season 2,"July 10, 2008",75
833,House: Season 1,"November 16, 2004",75
834,Downton Abbey: Season 5,"September 21, 2014",75
835,Run (2020): Season 1,"April 12, 2020",75
836,The Little Drummer Girl: Season 1,"October 28, 2018",75
837,Studio 60 on the Sunset Strip: Season 1,"September 18, 2006",75
838,The Conners: Season 1,"October 16, 2018",75
839,Game of Thrones: Season 8,"April 14, 2019",75
840,Dracula (2020): Season 1,"January 4, 2020",75
841,Cougar Town: Season 2,"September 22, 2010",75
842,Restless,"December 7, 2012",75
843,American Vandal: Season 1,"September 15, 2017",75
844,Julia (2022): Season 1,"March 31, 2022",75
845,With Love: Season 1,"December 17, 2021",75
846,Younger: Season 1,"March 31, 2015",75
847,Broad City: Season 1,"January 22, 2014",75
848,This Close: Season 1,"February 14, 2018",75
849,Veep: Season 2,"April 14, 2013",75
850,Quiz,"May 31, 2020",75
851,Grease: Live,"January 31, 2016",75
852,Ray Donovan: Season 1,"June 30, 2013",75
853,Gilmore Girls: Season 8,"November 25, 2016",75
854,Frayed: Season 1,"September 26, 2019",75
855,Jane Eyre,"September 24, 2006",75
856,Vida: Season 1,"May 6, 2018",75
857,The Outlaws: Season 1,"April 1, 2022",75
858,Monk: Season 1,"July 12, 2002",75
859,The Ben Stiller Show: Season 1,"September 27, 1992",75
860,Brotherhood: Season 1,"July 9, 2006",75
861,Lorena: Season 1,"February 15, 2019",75
862,Bridgerton: Season 1,"December 25, 2020",75
863,As You Like It,"August 21, 2007",75
864,Maximum Bob: Season 1,"August 4, 1998",75
865,Framing Britney Spears,"February 5, 2021",75
866,Big Little Lies: Season 1,"February 19, 2017",75
867,Nurse Jackie: Season 2,"March 22, 2010",75
868,Supergirl (2015): Season 1,"October 26, 2015",75
869,Bloodline: Season 1,"March 20, 2015",75
870,Detroiters: Season 1,"February 7, 2017",75
871,Ash Vs. Evil Dead: Season 1,"October 31, 2015",75
872,The Last Days of Ptolemy Grey: Season 1,"March 11, 2022",75
873,The Sinner: Season 2,"August 1, 2018",75
874,Key & Peele: Season 1,"January 31, 2012",74
875,Awake: Season 1,"March 1, 2012",74
876,Cruel Summer: Season 1,"April 20, 2021",74
877,The Real World Homecoming: Season 1,"March 4, 2021",74
878,Fringe: Season 2,"September 17, 2009",74
879,Six Feet Under: Season 1,"June 3, 2001",74
880,Everybody Loves Raymond: Season 1,"September 13, 1996",74
881,The Great: Season 1,"May 15, 2020",74
882,Underground: Season 1,"March 9, 2016",74
883,Shrill: Season 3,"May 7, 2021",74
884,Family Tree: Season 1,"May 12, 2013",74
885,The Practice: Season 1,"March 4, 1997",74
886,Wild Things with Dominic Monaghan: Season 1,"November 25, 2013",74
887,George Harrison: Living in the Material World,"October 5, 2011",74
888,Enlightened: Season 1,"October 10, 2011",74
889,Chuck: Season 2,"September 29, 2008",74
890,Documentary Now!: Season 2,"September 14, 2016",74
891,iZombie: Season 1,"March 17, 2015",74
892,True Blood: Season 5,"June 10, 2012",74
893,The Looming Tower: Season 1,"February 28, 2018",74
